,House Number,Rawalpindi Houses,Name,Price,Type,Main Features,Rooms,Details
345,House 52098357,Lahore Houses,Owner Build Elegant Modern Bungalow For Sale At Super Hot Location Near To MacDonald & Carrefour,"DHA Phase 7, DHA Defence, Lahore, Punjab","Khalifa Real Estate & Builders (R) Offers 20-Marla Beautiful Lavish Villa For Sale In DHA Lahore Property Overview  5-Master Bedrooms with branded attached bathrooms.  Designed walls and ceiling.  All baths are equipped with imported Grohe fitting.  Amazing woodwork all teak wood ash wood used in a bungalow  Bathtubs Jacuzzi installed.  House is located near the park mosque and commercial market Double storey house,  Beautiful terrace with a beautiful view.  Solid steel work used for the outside main gate.  Complete marble tiled wooden flooring.  Wash rooms are completely covered by Spanish Italian tiles.  All the construction is done under the supervision of the best architecture.  Planters all around in the lawn.  Beautiful lawn with a complete variety of planters.  Side streets are proper covered with tiles  House is completed according to DHA by-laws  Imported kitchen with the practical implementation of all appliances.  Solid steelwork used in cabinets  Lights provision in all cabinets of kitchen  Complete imported appliances installed in the kitchen including Fridge Cooking  Hob Microwave TV  Service kitchen small kitchen built with the same style of outer kitchen  Spacious service kitchen  Fall Ceiling done all over including bedrooms drawing dining and kitchen. Protection sheets installed while building the upper portion to keep both portions cool in summer s Double glace windows for sound proofing Solid stairs built with steel framework and granite used in outer Main beauty of the house is the patio. Located in the mid of the house that gives an evergreen fresh feeling from all the rooms and tv lounge. Beautiful design and good quality fittings and accessories. Reasonable Demand. It is sure to be a profitable deal for any genuine client. For more information please contact. Read Less",Built in year: 2024 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Floors: 2 | Other Main Features,"Bedrooms: 5, Bathrooms: 5, Servant Quarters, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Store Rooms, Other Rooms","Type: House, Price: PKR6.2 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 7, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 1 hour ago"
346,House 52098360,Lahore Houses,5-Marla Beautifully Design Ultra Modern Luxurious Bungalow For Sale In DHA,"DHA 9 Town, DHA Defence, Lahore, Punjab","Khalifa Real Estate & Builders (R) Offers 5-Marla Beautiful Lavish Villa For Sale In DHA Lahore Property Overview  3-Master Bedrooms with branded attached bathrooms.  Designed walls and ceiling.  All baths are equipped with imported Grohe fitting.  Amazing woodwork all teak wood ash wood used in a bungalow  Bathtubs Jacuzzi installed.  House is located near the park mosque and commercial market.  Double storey house,  Beautiful terrace with a beautiful view.  Solid steel work used for the outside main gate.  Complete marble tiled wooden flooring.  Wash rooms are completely covered by Spanish Italian tiles.  All the construction is done under the supervision of the best architecture.  Planters all around in the lawn.  Beautiful lawn with a complete variety of planters.  Side streets are proper covered with tiles  House is completed according to DHA by-laws  Imported kitchen with the practical implementation of all appliances.  Solid steelwork used in cabinets  Lights provision in all cabinets of kitchen  Complete imported appliances installed in the kitchen including Fridge Cooking  Hob Microwave TV  Service kitchen small kitchen built with the same style of outer kitchen  Spacious service kitchen  Fall Ceiling done all over including bedrooms drawing dining and kitchen. Protection sheets installed while building the upper portion to keep both portions cool in summer s Double glace windows for soundproofing Solid stairs built with steel framework and granite used in outer Main beauty of the house is the patio. Located in the mid of the house that gives an evergreen fresh feeling from all the rooms and tv lounge. Beautiful design and good quality fittings and accessories. Reasonable Demand. It is sure to be a profitable deal for any genuine client. For more information please contact.",Built in year: 2023 | Parking Spaces: 1 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Floors | Other Main Features,"Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR1.95 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 4, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 1 hour ago"
347,House 52099595,Lahore Houses,ONE KANAL OWNER BUILD HOUSE NEAR JALAL SONS,"DHA Phase 4, DHA Defence, Lahore, Punjab",KHALIFA REAL EST OFFER PHASE 4 TEN YEAR USED HOUSE NEAR MARKETMANY OPTIONS AVAILABLE WE SPECIALIST IN HOMESAbout The Property:05 Master Size Bed Rooms With Attached BathAll Baths Are Equipped With Imported Fittings2 Kitchen Amazing Wood Work2 TV LoungeStore RoomPrayer Room2 Servant Quarter In BasementDrawing Room And Dining RoomAmazing Wood Work In BungalowHouse Is Located Near Park/MosqueNear By Commercial AreaComplete Wiring Of UPS And Generator Done In The HouseSolid Steel Work Used For Outside Main GateComplete Marble/Tiled/Wooden FlooringAll The Construction Near And Adjacent To House Is NewWashing Area Is Elegantly Managed At The Back Side Of HouseGood Sizes Of Washrooms With Large Wardrobes In It. Superb ElevationHouse Location Is ExcellentMain Hospitals Are So Nearby That Hardly Just 5 Minutes AwayExclusive Views From The Terrace. Spacious Terrace Where One Can Easily Have Good Walk And Reasonable Sitting Area. All The Basic Necessities Of Life Are Available. All The Basic Utilities Are Available Including Connections Of Water/Sewage/Gas And Electricity. If You Cant Access Please Feel Free To Contact Us.,Built in year: 2012 | Parking Spaces: 4 | Central Air Conditioning | Flooring | Electricity Backup | Waste Disposal | Floors: 3 | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR7.98 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 1 hour ago"
348,House 52100958,Lahore Houses,1 KANAL MOST ELEGENT DESIGNER BUNAGLOW NEAR RING ROAD PARK AND DHA MAIN OFFICE,"DHA Phase 6, DHA Defence, Lahore, Punjab","> 5 Master Bed with attached Baths> 8 Bathrooms including (powder room) > 3 Beautiful T. V Lounge (Living area) 1 Formal Drawing & Dining Room > 3 Futile Company Kitchens with family breakfast table> 2 Servant Quarters> 4 Cars Parking> Branded Sanitary Fittings> 2 Box Room> Well maintained lush green Lawn & Terrace> Bar B. Q Area on side terrace> Huge solid wood entrance door glass & Wood Door+ Amirah> Amazing Wallpapers & Entrance Lobby> Granite Marbles & Imported Tiles Flooring> 2 Imported Jacuzzi's, steamer and 5 Cabin Showers in baths. The quality of construction level is A Class, Branded Cement, Bricks, Steel high grade Wood Used in House Heating and Cooling invertors Installed, an Amazing House Design You Are Sure to Be Impressed. If You Want to Live in An Environment Which Is Absolutely Secured and Peaceful with all the facilities you ever wished for Then It Is the Right Time and The Right Place to buy this house. Grab This Auspicious Opportunity to Execute Your Dreams into Reality. About The PropertyESTATE BUSINESS has skilled team for House sale Purchase Department At Lahore DHA and Nearby Societies. Our team members are there to ease your imaginary obstacle pass through For further details or to visit the house feel free to call / WhatsApp",Built in year: 2024 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR7.95 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 1 hour ago"
349,House 51921483,Lahore Houses,"One Kanal Brand New Luxury Ultra-Modern Design Most Beautiful Fully Furnished Bungalow 2 Servant Quarter In Basement For Sale At Prime Location Of DHA Lahore Near To Park & DHA Raya Fairways Commercial,","DHA Phase 6 - Block K, DHA Phase 6, DHA Defence, Lahore, Punjab",SYED BROTHERS OFFERS:100% Original Pictures Are AttachedAbout The Property:05 Master Size Bed Rooms With Attached BathAll Baths Are Equipped With Imported Fittings2 Kitchen Amazing Wood Work2 TV LoungeStore RoomPrayer Room2 Servant Quarter In BasementDrawing Room And Dining RoomAmazing Wood Work In BungalowHouse Is Located Near Park/MosqueNear By Commercial AreaComplete Wiring Of UPS And Generator Done In The HouseSolid Steel Work Used For Outside Main GateComplete Marble/Tiled/Wooden FlooringAll The Construction Near And Adjacent To House Is NewWashing Area Is Elegantly Managed At The Back Side Of HouseGood Sizes Of Washrooms With Large Wardrobes In It. Superb ElevationHouse Location Is ExcellentMain Hospitals Are So Nearby That Hardly Just 5 Minutes AwayExclusive Views From The Terrace. Spacious Terrace Where One Can Easily Have Good Walk And Reasonable Sitting Area. All The Basic Necessities Of Life Are Available. All The Basic Utilities Are Available Including Connections Of Water/Sewage/Gas And Electricity. If You Cant Access Please Feel Free To Contact Us.,Built in year: 2024 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR11.85 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 17 hours ago"
350,House 51848520,Lahore Houses,24 MARLA CORNER MAZHER DESIGN LUXURY BANGLOW,"DHA Phase 7 - Block S, DHA Phase 7, DHA Defence, Lahore, Punjab","24 Marla Bungalow Details 5 Master Bed With Attached Baths6 Bathrooms In The Bungalow. 2 Beautiful T. V Lounge 1 Drawing & Dinning Full Furnished3 Fotile Company Kitchens2 Servant Quarters4 Big Cars ParkingGrohi Sanitary Fittings2 Store RoomsBeautiful Lawn & TerraceBar B. Q Area In BungalowAsh Wood Door AlmirahAmazing Wallpapers & Entrance LobbyImported Marbles & Tiles Flooring2 Imported Jacuzzi's And 5 Cabin Showers In Baths. All Baths Are Equipped With Imported Fittings. Grohe Fittings. Amazing Woodwork, All Teak Wood Ash Wood Used In Bungalow. Bath Tubs Jacuzzi Installed In Every Wash Room. House Is Located Near Park Mosque. Commercial Area Is Very Near To Premises. Total Covered Area Of House Is 4500 Sq Ft. Double Story House. FOR MORE INFORMATION PLEASE CONTACT US.",Built in year: 2024 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 3 | Other Main Features | Furnished,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR7.5 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1.2 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 17 hours ago"
351,Farm House 51899118,,Luxury And Fully Furnished 04Kanal Farm House Bedian Road,"Bedian Road, Lahore, Punjab","Luxury and Fully Furnished 04Kanal Farm House Bedian RoadLocation: Bedian Road Area: 04 Kanal Farmhouse Building Contains:- Beautifully Built Farmhouse With All Time Modern Equipment - 5 Bedrooms Furnished- 6 Bathrooms With All Day Modern Vanities - Beautiful Kitchen - Luxury TV Longue- Dining Hall - Imported Marble - Grassy Lawn With Expensive And Imported Plants - Swimming Pool INDOOR &OUTDOOR- Vast Area Of Play Ground - Royal Building - Servant Quarters - Parking Space- Reasonable Demand - Possession ReadySociety Features:- Gated Community - Carpeted Roads - Green Belts- Electricity - Security - Pure & Clean Water- Street Lights- Masjid- CCTV Cameras- Family Parks- Kids Play Area- Commercial AreaAs Badian Road is famous for its Farmhouses, This Farm House is located within the center of all the farmhouses that give you a wide social circle. Near by Places:- Commercial markets- Hospital nearby- Schools colleges nearby - Shopping malls restaurant near by - Phase 10 just near by - 2 minute drive from Main bedian road- 5 minutes drive from DHA phase 6, 7- 10 minute drive from Ring Road, DHA Phase 5- 15 minute drive from Internationl AirportIf you are thinking to live a peaceful life on bedian road, Must visit us, we assure you will feel happy to visit this area and you will like this attractive and peaceful side. Feel free to contact us for further details or an immediate deal. RegardsFriends Real EstateMain Bedian Road Lahore",Built in year: 2023 | Parking Spaces | Double Glazed Windows | Flooring | Electricity Backup | Floors: 1 | Other Main Features,"Bedrooms: 6, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Store Rooms: 1, Other Rooms","Type: Farm House, Price: PKR4.8 Crore, Location: Bedian Road, Lahore, Punjab, Bath(s): 6, Area: 4 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 19 hours ago"
352,House 52069590,Lahore Houses,5 Marla House For Sale In DHA Lahore Very Reasonable Price,"DHA 9 Town, DHA Defence, Lahore, Punjab","DHA LAHORE5 Marla House In A Block DHA Phase 9 Town Lahore 3 Bedrooms5 Bath Price 195 LacsNOTE : Pictures & Videos Are Not Available,Only Visit Possible. Lahore Grande Estate",Built in year: 2024 | Parking Spaces: 1 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR1.95 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 4, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 19 hours ago"
353,House 52100269,Lahore Houses,5 Marla Fabulous Bungalow For Sale In DHA Phase 9 Town Lahore,"DHA 9 Town, DHA Defence, Lahore, Punjab","5 Marla Fabulous Bungalow For Sale In DHA Phase 9 Town LahoreBungalow Details  3 Master Bed with attached Baths 4 Bathrooms in the Bungalow.  1 Beautiful T. V Lounge 1 Drawing & Dining  1 Fotile Company Kitchens 0 Servant Quarters 1 Big Cars Parking Grohi Sanitary Fittings 1 Store Rooms Beautiful Lawn & Terrace Bar B. Q Area in Bungalow Ash Wood Door Almirah Amazing Wallpapers & Entrance Lobby Imported Marbles & Tiles Flooring 1 Imported jacuzzis and 2 Cabin Showers in baths. Main Approach from Ring Road Near Main Boulevard, All Banks Hub, Real Estates Hub, Al-Fatah Store and Gloria Jeans are on the way. Very Reasonable Demand. Meeting Possible 24 7. FOR MORE UPDATES CALL US WE WILL HELP YOU LIKE WHAT YOU WANT.",Built in year: 2025 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR1.95 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 4, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 19 hours ago"
354,House 51498633,Lahore Houses,Master Peace Of Art Design Brand New Bungalow For Sale,"DHA Phase 7, DHA Defence, Lahore, Punjab","KHALIFA REAL ESTATE PROUDLY OFFER KANAL BUNGALOW FOR SALE IN DHA PHASE 71 Kanal Brand New Luxury Bungalow For Sale, Beautifully Designed & Fairly Spacious With Rolling Basic Information1 - 5 Bed Rooms With Bath,beautiful Interior And Exterior Drawing Dining 3 TV Powder Room Jacuzzi Tub Baths Shower Cabins And Vanities . 2 - Imported Shingle And Vanities . 3 - Imported Euro Main Kitchen And Sported Kitchen . 4 - Imported Tiles For Flooring & Front Elevation. 5 - Grohe Sanitary Fitting In All Bathroom . 6 - New Age Electrical Wiring In Complete House . 7 - All Electrical Switches From Schneider Electric Company Germany . 9 - Imported Italian Locks In Complete House . 10 - Air Condition Inverter Type From Gree. 11 - Imported Wallpapers. 12 - Solid Ash Wooden Doors 8 Feet Height . 13 - Lobby Double Hight (sky Light )14 - A Grade Bricks Civil Work . 15 - Chenab Sand Used. 16 - Saria Modal 60 Grade . 17 - Maple Leaf Cemet Used . 18 - Lush Green Lawn . 19 - Spacious Car Parking . 20 - Basement With 2 Servant Room 1 Main Store . ( House Is Equipped With All Necessary Facilitates And Is Ready For Possession All You Need Is To Move In )For More Detail Call Or Visit",Built in year: 2024 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Floors: 2 | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens:  3, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR6.95 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 22 hours ago"
355,House 52113058,Lahore Houses,Beautiful Designed Kanal Bungalow With Modern Elevation For Sale Now In DHA Phase 7,"DHA Phase 7, DHA Defence, Lahore, Punjab","Beautiful Designed Kanal Bungalow With Modern Elevation For Sale Now In DHA Phase 7One Kanal Bungalow Details 5 Master Bed With Attached Baths Bathrooms In The Bungalow. 2 Beautiful T. V Lounge 1 Drawing & Dinning 2 Futile Company Kitchens2 Servant Quarters4 Big Cars ParkingGrohe Sanitary Fittings2 Store RoomsBeautiful Lawn & TerraceBar B. Q Area In BungalowAsh Wood Door AlmirahAmazing Wallpapers & Entrance LobbyImported Marbles & Tiles Flooring2 Imported Jacuzzi's And 5 Cabin Showers In Baths. All Baths Are Equipped With Imported Fittings. Grohe Fittings. Amazing Woodwork, All Teak Wood Ash Wood Used In Bungalow. Bath Tubs Jacuzzi Installed In Every Wash Room. House Is Located Near Park Mosque. Commercial Area Is Very Near To Premises. Total Covered Area Of House Is 4500 Sq Ft. Double Story House. Call Us For More Details",Built in year: 2025 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 2, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR6.5 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 22 hours ago"
356,House 52100533,Lahore Houses,5 Marla Brand New Luxury House For Sale In Tulip Overseas Block Park View City Lahore,"Park View City - Tulip Overseas, Park View City, Lahore, Punjab","* Discover The Life Of Luxury Living With This Stunning Residential House In Parkview  City, Lahore.  * Nestled Within A Prestigious And Secure Gated Community.  * This House Offers A Perfect Blend Of Modern Amenities And Serene Natural Beauty.  Location & Accessibility:Strategically Located, Parkview City Provides Easy Access To Key Areas Of Lahore, Including Educational Institutions, Healthcare Facilities, Shopping Centers, And Major Road Networks. Enjoy The Convenience Of Urban Living While Being Surrounded By Lush Green Landscapes. Community Features:* 24/7 Security: Feel Safe With Round-The-Clock Security Services Ensuring Peace Of  Mind For You And Your Family. * Parks & Green Spaces: Embrace Nature With Beautifully Maintained Parks, Jogging  Track *s, And Children's Play Areas. * Modern Infrastructure * Wide, Well-Paved Roads  * Underground Electricity * Advanced Sewerage Systems Ensure A Hassle-Free Lifestyle.  * Commercial Area: Access To A Variety Of Retail Shops, Restaurants, And Cafes Within  The Community, Making Everyday Living Effortless. * Educational Institutions: Proximity To Renowned Schools And Colleges Provides Top-  Notch Education Options For Your Children. * Health & Fitness: Enjoy A Healthy Lifestyle With State-Of-The-Art Fitness Centers, * * Sports Complexes, And Health Clubs.  Aesthetic Appeal:* This Plot Offers A Pictures Que Setting, Ideal For Building Your Dream Home. With A * Backdrop Of Scenic Views And A Tranquil Environment. Its A Perfect Place To Unwind  And Create Lasting Memories.  Don't Miss This Golden Opportunity To Invest In One Of Lahore Most Sought-After  Residential Areas. Secure Your Future In Parkview City And Enjoy A Life Of Comfort,  Luxury, And Convenience. Contact Us Now For More Details And To Schedule A Visit.",Built in year: 2024 | Parking Spaces: 1 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Furnished,"Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR1.68 Crore, Location: Park View City, Lahore, Punjab, Bath(s): 4, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 4, Added: 23 hours ago"
357,House 52017726,Lahore Houses,Area 5 Marla Triple Storey Brand New House For Sale In AA Vital Home Near To' Ferozpure Road,"Pak Arab Housing Society Phase 1, Pak Arab Housing Society, Lahore, Punjab","Aria;5 Marla Triple Story Brand New Laxry House For Sale in AA vital Home Very Hotst Location & Beautiful House L. D. A Approved Society ""Gas Savrig""Elactry city Avaible ""Near To Ferozpure Road Near To park""Masjid"" Market station4 Bed Rooms1 Draing Room3 Kitchen5 Washrooms1 Big Car parkingTv lounch  1 Study room25 Mint Drive Airport10 Drive Center parkL. D. A"" Approved SocietyRegistry intiqal",Parking Spaces: 1 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Floors: 3,"Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR2.2 Crore, Location: Pak Arab Housing Society, Lahore, Punjab, Bath(s): 5, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 4, Added: 23 hours ago"
358,House 52112467,Lahore Houses,ELEGANT ULTRA MODERN FULLY FURNISHED DESIGNER HOUSE,"DHA Phase 6, DHA Defence, Lahore, Punjab","1 Kanal Stylish Bungalow For Sale In DHA Call / Whatsapp Mr. Abid View Contact Detail ACs installed  Curtains on all windows 5 bedrooms with Stylish attached shower closet & Tub baths.  Drawing & Dining Room.  2 Specious TV lounges.  Company Kitchen Installed with all latest accessories like Oven , Microwave etc Dirty Kitchen Built with the same style of outer Kitchen.  Laundry area  Lovely designed fall Ceilings.  Imported fittings & fixtures.  Wooden & Tile flooring.  Refreshing View.  Lush green Lawn.  Specious Car Porch.  Ideal location for living Multinational companies Executives and for the Foreigners",Built in year | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors | Other Main Features | Furnished,"Bedrooms: 5, Bathrooms: 6, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR9 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 23 hours ago"
359,House 51857266,Lahore Houses,5 Marla Slightly Used House Available For Sale In Lake City Sector,"Lake City - Sector M7 - Block B, Lake City - Sector M-7, Lake City, Raiwind Road, Lahore, Punjab","Al- Nakheel Properties & Developers aims to support the clients in getting their dream properties according to their wishes and price ranges with a focus on delivering extra ordinary services and build long-lasting relationships. Whether you are looking for residential, commercial, or industrial property We assist you from buying a plot to build a House of your dreams. LAKE CITY HAS Al MANY EXCELLENT FEATURES:Up to 15000 Families are Lived in Lake City -Ring Road Approach via LAKE CITY INTERCHANGE,-150 feet Road Approach directly to SHAUKAT KHANAM Hospital,-150 feet RAIWIND ROAD,-UNDERGROUND ELECTRICITY with Backup GENERATORS on Govt. (LESCO) Unit Rates,-9 Holes PGA STANDARD - 1200 KANAL sized Largest GOLF COURSE,-24/7 Security System - CCTV Surveillance Cameras. Many banks in LAKE CITY, such as:-ALLIED Bank,-ASKARI Bank,-Bank AL-HABIB,-MCB Bank,-HABIB Bank Limited,-MEEZAN Bank,- Bank of PUNJAB,Many GROCERY STORES are Operational & Providing FREE HOME DELIVERY Services for LAKE CITY Residents. Such as:-AL-FATAH Store,-JALAL SONS Super Market,-BUNDU KHAN Sweets,-LAYERS Baker,-GALAXY Super Store,-WEPLAY - Play Land (Largest Trampoline Park in Pakistan). FOOD STREET of LAKECITY offers:-POET Restaurant,-CHINA TOWN Restaurant,-JADE Caf,-NISSA SULTAN Turkish Cuisine,-VILLA Grand Buffet Restaurant,-GLORIA JEANS,-DAILY DELI,-SUBWAY,-DUJJAJ Broast,-NY-212 Pizzas,-HARDEE'S & MCDONALD'S,-SWEET FACTORY,-BASKIN ROBBINS,-DUNKIN' DONUTS,-CHASHNI Bakers. Multiple SCHOOLS are providing INTERNATIONAL-Level education:-FROEBEL'S INTERNATIONAL School,-SCARSDALE INTERNATIONAL School. LAKE CITY MALL Own very Famous CLOTHING BRANDS:-LEISURE CLUB,-LIMELIGHT,-SAPHIRE,-Mini MINERS,-ROYAL TAG,-CHINYRE,-BREEZE MAN,-Hush PUPPIES & STYLO. FITNESS & HEALTH is most important Factor for everyone, LAKE CITY offers these facilities for their residents:-FLEX FIT Gym,-VIBE Gym,-KASRAT Gym. Also, Nearby HFC GYM - Biggest Gym & Community Club of Pakistan is just 3 KILOMETERS away. PHARMACIES in LAKE CITY:-SEHAT Medical & HEALTH Centre-CMA HEALTH Center-SERVAID Pharmacy-MEHMOOD Pharmacy-SMILES DENTAL CLINICUPCOMING Brands OPENING SOON:-TEHZEEB BAKERS-TIM HORTONS-KFC-KHAADIFor regular property UPDATES, save our WHATSAPP Numbers for detailed CALLS/TEXTS on the following NUMBERS:",Built in year: 2000 | Parking Spaces: 2 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR1.64 Crore, Location: Raiwind Road, Lahore, Punjab, Bath(s): 2, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 2 hours ago"
